pid,priority,n_run,running_time,ticks
1, 0, 1, 0, 0
1, 0, 2, 0, 1
1, 0, 3, 0, 1
1, 0, 4, 0, 1
1, 0, 5, 0, 1
1, 0, 6, 0, 1
1, 0, 7, 1, 2
1, 0, 8, 1, 2
1, 0, 9, 1, 2
1, 0, 10, 1, 2
1, 0, 11, 1, 2
1, 0, 12, 1, 2
1, 0, 13, 2, 3
1, 0, 14, 2, 3
1, 0, 15, 2, 3
1, 0, 16, 2, 4
1, 0, 17, 2, 4
1, 0, 18, 2, 4
1, 0, 19, 2, 4
1, 0, 20, 2, 4
1, 0, 21, 3, 5
1, 0, 22, 3, 5
1, 1, 23, 5, 7
2, 1, 1, 0, 7
2, 1, 2, 0, 7
2, 1, 3, 1, 8
2, 1, 4, 1, 8
2, 1, 5, 1, 8
2, 1, 6, 1, 8
2, 1, 7, 1, 8
2, 1, 8, 1, 8
2, 1, 9, 1, 8
2, 1, 10, 1, 8
2, 1, 11, 1, 8
2, 1, 12, 2, 9
2, 1, 13, 2, 9
2, 1, 14, 2, 9
2, 1, 15, 2, 9
2, 0, 16, 2, 337
2, 1, 17, 2, 339
3, 0, 1, 0, 340
3, 0, 2, 0, 341
3, 0, 3, 1, 342
3, 0, 4, 1, 342
3, 0, 5, 2, 343
3, 0, 6, 2, 343
3, 0, 7, 2, 343
3, 0, 8, 2, 343
4, 0, 1, 0, 344
3, 1, 9, 4, 345
6, 0, 1, 0, 346
5, 0, 1, 0, 348
4, 1, 2, 0, 348
6, 1, 2, 0, 350
5, 1, 2, 2, 351
3, 2, 10, 7, 353
4, 2, 3, 0, 354
6, 2, 3, 3, 358
5, 2, 3, 2, 359
3, 3, 11, 12, 363
4, 3, 4, 0, 364
6, 3, 4, 8, 372
5, 3, 4, 2, 373
3, 4, 12, 21, 381
4, 4, 5, 0, 382
6, 4, 5, 17, 398
5, 4, 5, 2, 399
3, 4, 13, 38, 415
4, 4, 6, 0, 416
6, 4, 6, 34, 432
5, 4, 6, 2, 433
3, 4, 14, 55, 449
4, 4, 7, 0, 450
6, 4, 7, 51, 466
5, 4, 7, 2, 467
3, 4, 15, 72, 483
4, 4, 8, 0, 484
6, 4, 8, 68, 500
5, 4, 8, 2, 501
3, 4, 16, 89, 517
4, 4, 9, 0, 518
6, 4, 9, 85, 534
5, 4, 9, 2, 535
3, 4, 17, 106, 551
4, 4, 10, 0, 552
6, 4, 10, 102, 568
5, 4, 10, 2, 569
3, 4, 18, 123, 585
4, 4, 11, 0, 586
6, 4, 11, 119, 602
5, 4, 11, 2, 603
3, 4, 19, 140, 619
4, 4, 12, 0, 620
6, 4, 12, 136, 636
5, 4, 12, 2, 637
3, 4, 20, 157, 653
4, 4, 13, 0, 654
6, 4, 13, 153, 670
5, 4, 13, 2, 671
3, 4, 21, 174, 687
4, 4, 14, 0, 688
6, 4, 14, 170, 704
5, 4, 14, 2, 705
3, 4, 22, 191, 721
4, 4, 15, 0, 722
6, 4, 15, 187, 738
5, 4, 15, 2, 739
3, 4, 23, 208, 755
4, 4, 16, 0, 756
6, 4, 16, 204, 772
5, 4, 16, 2, 773
3, 4, 24, 225, 789
4, 4, 17, 0, 790
6, 4, 17, 221, 806
5, 4, 17, 2, 807
3, 4, 25, 242, 823
4, 4, 18, 0, 824
6, 4, 18, 238, 840
5, 4, 18, 2, 841
3, 4, 26, 259, 857
4, 4, 19, 0, 858
6, 4, 19, 255, 874
5, 4, 19, 2, 875
3, 4, 27, 276, 891
4, 4, 20, 0, 892
6, 4, 20, 272, 908
5, 4, 20, 2, 909
3, 4, 28, 293, 925
4, 4, 21, 0, 926
6, 4, 21, 289, 942
5, 4, 21, 2, 943
3, 4, 29, 310, 959
4, 4, 22, 0, 960
6, 4, 22, 306, 976
5, 4, 22, 2, 977
3, 4, 30, 327, 993
4, 4, 23, 0, 994
6, 4, 23, 323, 1010
5, 4, 23, 2, 1011
3, 4, 31, 344, 1027
4, 4, 24, 0, 1028
